,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,year
0,2021-04-01 00:26:12.500000+00:00,29.7844,-113.8849,10.0,4.7,mb,,91.0,1.502,1.48,us,us6000dy35,2021-04-01T01:25:08.040Z,"116 km W of La Libertad, Mexico",earthquake,6.4,1.9,0.055,99.0,reviewed,us,us,2021
1,2021-03-31 08:56:25.940000+00:00,32.3903333,-115.2498333,19.22,4.75,mw,54.0,71.0,0.05499,0.32,ci,ci39596135,2021-04-08T04:00:45.926Z,"7km NW of Delta, B.C., MX",earthquake,0.46,0.94,,6.0,reviewed,ci,ci,2021
2,2021-03-17 04:19:28.359000+00:00,31.65433164,-104.3573154,6.182983398,4.5,ml,53.0,61.0,0.1231410445,0.3,tx,tx2021fhjh,2021-04-02T00:56:04.217Z,"57 km S of Whites City, New Mexico",earthquake,0.8266925828,1.088730241,0.2,29.0,reviewed,tx,tx,2021
3,2021-01-20 14:59:43.686000+00:00,26.5941,-110.9635,10.0,4.7,mb,,78.0,1.35,0.63,us,us7000d1nc,2021-03-27T21:05:43.040Z,"75 km NNE of Loreto, Mexico",earthquake,6.1,1.8,0.048,136.0,reviewed,us,us,2021
4,2020-12-14 21:20:10.831000+00:00,38.1554,-118.1231,5.2,4.7,ml,33.0,42.76,0.056,0.1432,nn,nn00792158,2021-02-20T16:12:06.040Z,"26 km S of Mina, Nevada",earthquake,,1.8,0.51,12.0,reviewed,nn,nn,2020
5,2020-12-12 07:50:52.930000+00:00,38.1497,-118.1008,6.4,4.9,ml,30.0,43.01,0.04,0.1745,nn,nn00791435,2021-02-20T16:11:27.040Z,"26 km S of Mina, Nevada",earthquake,,1.1,0.2,13.0,reviewed,nn,nn,2020
6,2020-12-03 05:15:29.993000+00:00,38.175,-118.0654,5.0,4.9,ml,30.0,41.69,0.018,0.1367,nn,nn00788443,2021-02-12T22:38:31.040Z,"24 km S of Mina, Nevada",earthquake,,0.8,0.25,13.0,reviewed,nn,nn,2020
7,2020-12-01 23:32:56.573000+00:00,38.1637,-118.0837,5.0,5.1,ml,21.0,42.28,0.025,0.1986,nn,nn00787105,2021-02-06T18:29:35.040Z,"25 km S of Mina, Nevada",earthquake,,2.5,0.25,11.0,reviewed,nn,nn,2020
8,2020-11-13 09:13:51.862000+00:00,38.1693,-117.8533,4.8,5.3,ml,34.0,38.45,0.016,0.1165,nn,nn00782942,2021-01-27T23:55:46.802Z,"33 km SE of Mina, Nevada",earthquake,,0.6,0.23,13.0,reviewed,nn,nn,2020
9,2020-10-24 10:11:07.260000+00:00,25.7224,-110.1051,10.0,4.6,mb,,130.0,0.968,0.93,us,us6000ccj8,2021-01-09T20:05:23.040Z,"78 km WSW of Las Grullas Margen Derecha, Mexico",earthquake,3.1,1.9,0.055,99.0,reviewed,us,us,2020
10,2020-10-01 00:31:27.340000+00:00,33.056,-115.5898333,11.54,4.93,mw,111.0,47.0,0.0189,0.31,ci,ci39641528,2021-02-08T05:04:44.081Z,"4km NE of Westmorland, CA",earthquake,0.17,0.36,,7.0,reviewed,ci,ci,2020
11,2020-09-24 23:06:42.138000+00:00,27.0779,-111.2685,10.0,4.6,mb,,112.0,0.899,0.93,us,us6000c0xh,2020-12-05T21:02:57.040Z,"73 km ENE of Mulegé, Mexico",earthquake,6.9,1.9,0.057,90.0,reviewed,us,us,2020
12,2020-09-24 23:01:30.369000+00:00,27.1573,-111.4068,10.0,5.3,mww,,125.0,0.76,0.66,us,us6000c0ww,2020-12-05T21:02:57.040Z,"64 km ENE of Mulegé, Mexico",earthquake,7.3,1.9,0.046,45.0,reviewed,us,us,2020
13,2020-09-19 06:38:46.930000+00:00,34.038,-118.08,16.87,4.54,mw,236.0,16.0,0.01273,0.25,ci,ci38695658,2021-04-05T16:08:32.548Z,"3km WSW of South El Monte, CA",earthquake,0.11,0.22,,6.0,reviewed,ci,ci,2020
14,2020-08-19 17:32:11.070000+00:00,36.4786667,-117.5141667,-0.57,4.72,mw,53.0,48.0,0.2161,0.17,ci,ci39584648,2020-10-31T19:06:08.040Z,"36km WSW of Stovepipe Wells, CA",earthquake,0.15,0.45,,6.0,reviewed,ci,ci,2020
15,2020-08-17 15:31:39.571000+00:00,31.4138,-115.7552,10.0,4.5,mb,,229.0,0.611,0.47,us,us6000bg04,2020-10-24T20:08:59.040Z,"47 km ENE of San Vicente, Mexico",earthquake,2.7,1.8,0.27,5.0,reviewed,us,us,2020
16,2020-08-17 15:30:33.530000+00:00,31.5366667,-115.6613333,16.22,5.12,mw,42.0,231.0,0.5267,0.34,ci,ci39347679,2021-02-19T19:22:20.561Z,"88km ESE of Maneadero, B.C., MX",earthquake,0.72,0.81,,6.0,reviewed,ci,ci,2020
17,2020-08-10 15:56:14.330000+00:00,33.2468333,-115.69,2.07,4.59,mw,86.0,40.0,0.08504,0.29,ci,ci39338407,2020-10-21T22:04:04.040Z,"12km SSE of Bombay Beach, CA",earthquake,0.21,31.61,,7.0,reviewed,ci,ci,2020
18,2020-08-09 12:07:37.650000+00:00,36.4743333,-81.0865,4.14,5.1,mw,34.0,50.0,0.4521,0.38,se,se60324281,2021-04-11T12:17:47.243Z,Virginia-North Carolina border region,earthquake,0.4,1.81,,0.0,reviewed,se,se,2020
19,2020-07-06 06:12:54.847000+00:00,38.1856,-117.8907,5.6,4.5,ml,30.0,48.55,0.028,0.157,nn,nn00757297,2020-09-11T22:14:19.040Z,"29 km SE of Mina, Nevada",earthquake,,0.7,0.33,10.0,reviewed,nn,nn,2020
20,2020-06-30 09:24:23.549000+00:00,38.1539,-117.9583,8.3,5.0,ml,28.0,44.32,0.015,0.2511,nn,nn00755218,2020-09-05T17:35:36.040Z,"63km WNW of Tonopah, Nevada",earthquake,,0.9,0.28,7.0,reviewed,nn,nn,2020
21,2020-06-25 05:20:59.627000+00:00,44.3989,-115.1814,7.54,4.6,mwr,,75.0,0.34,0.64,us,us7000aanf,2020-10-08T17:26:42.977Z,"27 km NW of Stanley, Idaho",earthquake,2.6,4.7,0.028,119.0,reviewed,us,us,2020
22,2020-06-24 17:59:19.960000+00:00,36.456,-117.9311667,9.62,4.59,mw,44.0,62.0,0.1212,0.19,ci,ci39494008,2020-09-05T17:35:16.040Z,"19km SE of Lone Pine, CA",earthquake,0.2,0.44,,6.0,reviewed,ci,ci,2020
23,2020-06-24 17:40:49.240000+00:00,36.4468333,-117.9751667,4.66,5.8,mw,48.0,67.0,0.08494,0.19,ci,ci39493944,2021-04-07T17:51:05.163Z,"18km SSE of Lone Pine, CA",earthquake,0.18,0.66,,6.0,reviewed,ci,ci,2020
24,2020-06-23 00:25:46.390000+00:00,36.4466667,-117.984,2.26,4.65,mw,51.0,74.0,0.07783,0.22,ci,ci39490952,2021-02-13T00:11:34.391Z,"17km SSE of Lone Pine, CA",earthquake,0.19,0.83,,6.0,reviewed,ci,ci,2020
25,2020-06-19 20:42:21.454000+00:00,38.1698,-117.8345,6.5,4.9,ml,21.0,50.72,0.03,0.1765,nn,nn00750312,2020-08-30T00:00:52.040Z,"49km WNW of Tonopah, Nevada",earthquake,,0.9,0.22,13.0,reviewed,nn,nn,2020
26,2020-06-08 03:24:05.884000+00:00,38.2059,-117.7912,5.2,4.8,ml,32.0,32.66,0.041,0.174,nn,nn00744961,2020-08-18T17:59:04.040Z,"50km WNW of Tonopah, Nevada",earthquake,,1.1,0.46,9.0,reviewed,nn,nn,2020
27,2020-06-04 01:32:11.140000+00:00,35.6148333,-117.4281667,8.44,5.51,mw,85.0,45.0,0.0396,0.21,ci,ci39462536,2021-02-18T17:37:15.500Z,"17km S of Searles Valley, CA",earthquake,0.15,0.45,,6.0,reviewed,ci,ci,2020
28,2020-05-22 00:22:00.588000+00:00,38.2309,-117.7939,7.2,5.1,ml,31.0,47.16,0.092,0.1378,nn,nn00730721,2020-08-08T18:17:48.040Z,"53km WNW of Tonopah, Nevada",earthquake,,1.4,0.44,11.0,reviewed,nn,nn,2020
